x,Curve1
355.814,1.57709
373.256,1.57162
390.698,1.56615
406.395,1.56069
423.837,1.55522
439.535,1.55157
456.977,1.5461
474.419,1.54244
490.116,1.53878
507.558,1.53512
523.256,1.53146
538.953,1.52961
552.907,1.52595
570.349,1.5241
587.791,1.52043
603.488,1.51678
620.93,1.51492
638.372,1.51306
654.07,1.5094
671.512,1.50755
688.953,1.50388
704.651,1.50203
722.093,1.50017
739.535,1.49651
755.233,1.49466
779.651,1.49098
797.093,1.48912
814.535,1.48726
830.233,1.48541
847.674,1.48355
865.116,1.48169
880.814,1.47984
